Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Topas 33 SC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Topazio,5,,,,5,5,,
Touchdown,8 l/Jahr,,,,8 l/Jahr,,,
Tracer 120,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr
Trebon up,"max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte",,"max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte"
Tri-Base,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Tribasic-DEL,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Trico,20 l,,,,20 l,,,
Trimanoc 80 WP,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Trinex 250 EW,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel",,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel",,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel"
Turex,2 kg,,2 kg,2 kg,2 kg,,,
Turibel,3,,3,3,3,3,,
U46 M Star,80,,80,,80,80,,
Ultra Fine Oil,1,,,1,1,1,,
Vacciplant,1 l,,,,1 l,,,
Valgran,80,,80,,80,80,,
Vector,1 l,,,1 l,1 l,,,
Vernoil,20,,,20,20,20,,
Vertimec EC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Vertimec Pro,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Virgo,3,,3,3,3,3,,
Vision Plus,"max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr",,"max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr"
Visir Pencotech,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Vitikappa,"7,5 kg",,"7,5 kg","7,5 kg","7,5 kg",,,
Vittoria 24 SC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Voliam Targo,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Vondozeb DG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Wirk,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade
XenTari WG,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
Z.M. 75 DG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Zamir 18,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
"Zepex 1,9 EW",max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Zetaram 20 L,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Zetor,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Zolfo flow MCT,5,,,5,,5,,
Zolfo liquido 80 SC,3,,3,,3,3,,
Zolfo SC,5,,,,5,5,,
Zolfo Ventilato Scorrevole 96%,5,,,,5,5,,
Zolvis 80 Sector,5,,,5,,5,,
Zolvis 80 WDG,5,,5,,5,5,,
